"pkmnFormId","pkmnSpeciesId","orderNum","name","formName","formTypeId","regionId","isDefault","isBattleOnly","isCosmetic","isEvent","isSexuallyDimorphic","isSpecial","typeId1","typeId2","hp","att","def","spAtt","spDef","spd","specialStat","height","weight","generationId","genderRatioId","colorId","shapeId","abilityId1","abilityId2","abilityIdHidden","eggGroupId1","eggGroupId2","category","friendship","exp","hpEVs","attEVs","defEVs","spAttEVs","spDefEVs","spdEVs","friendAreaId","isGigantic","pSpeed","pPower","pSkill","pStamina","pJump","pokeAPIId","pokeAPIPokemonId"
"315","214","0","Heracross",NULL,NULL,NULL,"1","0","0","0","1","0","7","2","80","125","75","40","95","85",NULL,"15","540","2","5","2","12","68","62","153","3",NULL,"Single Horn","50","175","0","2","0","0","0","0","68","0","1,3,3","1,4,5","1,3,3","1,2,3","2,2,3","214","214"
"316","214","1","Mega Heracross","Mega","3",NULL,"0","1","0","0","0","0","7","2","80","185","115","40","105","75",NULL,"17","625","6","5","2","12","92",NULL,NULL,"3",NULL,"Single Horn","50","210","0","2","0","0","0","0",NULL,"0",NULL,NULL,NULL,NULL,NULL,"10147","10047"
"317","215","0","Sneasel",NULL,NULL,NULL,"1","0","0","0","1","0","17","15","55","95","55","35","75","115",NULL,"9","280","2","5","1","6","39","51","124","5",NULL,"Sharp Claw","35","86","0","0","0","0","0","1","36","0","4,5,5","1,2,3","2,4,5","1,1,1","2,3,4","215","215"
"318","216","0","Teddiursa",NULL,NULL,NULL,"1","0","0","0","0","0","1",NULL,"60","80","50","50","50","40",NULL,"6","88","2","5","3","6","53","95","118","5",NULL,"Little Bear","50","66","0","1","0","0","0","0","31","0","1,3,3","1,3,3","1,4,4","2,4,5","2,2,3","216","216"
"319","217","0","Ursaring",NULL,NULL,NULL,"1","0","0","0","1","0","1",NULL,"90","130","75","75","75","55",NULL,"18","1258","2","5","3","6","62","95","127","5",NULL,"Hibernator","50","175","0","2","0","0","0","0","31","0","1,2,3","2,4,5","1,2,3","3,5,5","2,2,2","217","217"
"320","218","0","Slugma",NULL,NULL,NULL,"1","0","0","0","0","0","10",NULL,"40","40","40","70","40","20",NULL,"7","350","2","5","8","2","40","49","133","11",NULL,"Lava","50","50","0","0","0","1","0","0","16","0","1,1,2","1,2,3","1,2,3","2,4,4","2,2,2","218","218"
"321","219","0","Magcargo",NULL,NULL,NULL,"1","0","0","0","0","0","10","6","60","50","120","90","80","30",NULL,"8","550","2","5","8","2","40","49","133","11",NULL,"Lava","50","151","0","0","2","0","0","0","16","0","1,1,1","1,4,4","1,2,2","1,4,5","2,2,2","219","219"
"322","220","0","Swinub",NULL,NULL,NULL,"1","0","0","0","0","0","15","5","50","50","40","30","30","50",NULL,"4","65","2","5","3","8","12","81","47","5",NULL,"Pig","50","50","0","1","0","0","0","0","84","0","1,3,3","1,2,4","1,2,2","2,3,4","2,2,3","220","220"
"323","221","0","Piloswine",NULL,NULL,NULL,"1","0","0","0","1","0","15","5","100","100","80","60","60","50",NULL,"11","558","2","5","3","8","12","81","47","5",NULL,"Swine","50","158","1","1","0","0","0","0","84","0","1,2,2","1,3,4","1,1,2","2,4,5","2,2,2","221","221"
"324","222","0","Corsola",NULL,NULL,NULL,"1","0","0","0","0","0","11","6","65","55","95","65","95","35",NULL,"6","50","2","4","6","14","55","30","144","2","9","Coral","50","144","0","0","1","0","1","0","12","0","1,4,4","1,2,3","1,2,3","1,3,3","2,3,3","222","222"
"325","222","1","Galarian Corsola","Galarian Form","5","8","0","0","0","0","0","0","8",NULL,"60","55","100","65","100","30",NULL,"6","5","8","4","9","14","133",NULL,"130","2","9","Coral","50","144","0","0","0","0","1","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10332","10173"
"326","223","0","Remoraid",NULL,NULL,NULL,"1","0","0","0","0","0","11",NULL,"35","65","35","65","35","65",NULL,"6","120","2","5","4","3","55","97","141","2","12","Jet","50","60","0","0","0","1","0","0","71","0","1,3,3","1,2,3","2,4,5","1,2,3","2,3,3","223","223"
"327","224","0","Octillery",NULL,NULL,NULL,"1","0","0","0","1","0","11",NULL,"75","105","75","105","75","45",NULL,"9","285","2","5","8","10","21","97","141","2","12","Jet","50","168","0","1","0","1","0","0","71","0","1,2,2","1,4,4","1,3,4","1,4,5","2,2,2","224","224"
"328","225","0","Delibird",NULL,NULL,NULL,"1","0","0","0","0","0","15","3","45","55","45","65","45","75",NULL,"9","160","2","5","8","9","72","55","15","2","5","Delivery","50","116","0","0","0","0","0","1","84","0","1,3,3","1,3,3","1,3,4","1,4,5","2,3,3","225","225"
"329","226","0","Mantine",NULL,NULL,NULL,"1","0","0","0","0","0","11","3","85","40","70","80","140","70",NULL,"21","2200","2","5","7","9","33","11","41","2",NULL,"Kite","50","170","0","0","0","0","2","0","22","0","1,3,4","1,3,4","1,3,3","2,4,5","2,2,3","226","226"
"330","227","0","Skarmory",NULL,NULL,NULL,"1","0","0","0","0","0","9","3","65","80","140","40","70","70",NULL,"17","505","2","5","4","9","51","5","133","4",NULL,"Armor Bird","50","163","0","0","2","0","0","0","3","0","1,4,5","1,3,3","1,1,2","1,2,4","3,5,5","227","227"
"331","228","0","Houndour",NULL,NULL,NULL,"1","0","0","0","0","0","17","10","45","60","30","80","50","65",NULL,"6","108","2","5","1","8","48","18","127","5",NULL,"Dark","35","66","0","0","0","1","0","0","3","0","1,4,4","1,2,3","1,4,4","1,3,3","2,3,4","228","228"
"332","229","0","Houndoom",NULL,NULL,NULL,"1","0","0","0","1","0","17","10","75","90","50","110","80","95",NULL,"14","350","2","5","1","8","48","18","127","5",NULL,"Dark","35","175","0","0","0","2","0","0","3","0","1,4,4","1,3,3","1,2,2","1,3,4","2,3,4","229","229"
"333","229","1","Mega Houndoom","Mega","3",NULL,"0","1","0","0","0","0","17","10","75","90","90","140","90","115",NULL,"19","495","6","5","1","8","94",NULL,NULL,"5",NULL,"Dark","35","210","0","0","0","2","0","0",NULL,"0",NULL,NULL,NULL,NULL,NULL,"10148","10048"
"334","230","0","Kingdra",NULL,NULL,NULL,"1","0","0","0","0","0","11","16","75","95","95","95","95","85",NULL,"18","1520","2","5","2","5","33","97","6","2","14","Dragon","50","270","0","1","0","1","1","0","71","0","1,2,5","1,4,4","1,3,3","1,4,5","2,2,2","230","230"
"335","231","0","Phanpy",NULL,NULL,NULL,"1","0","0","0","0","0","5",NULL,"90","60","60","40","40","40",NULL,"5","335","2","5","2","8","53",NULL,"8","5",NULL,"Long Nose","50","66","1","0","0","0","0","0","78","0","1,3,3","2,4,5","1,3,3","1,3,4","2,2,3","231","231"
"336","232","0","Donphan",NULL,NULL,NULL,"1","0","0","0","1","0","5",NULL,"90","120","120","60","60","50",NULL,"11","1200","2","5","4","8","5",NULL,"8","5",NULL,"Armor","50","175","0","1","1","0","0","0","78","0","1,2,4","4,5,5","1,2,2","1,4,4","2,2,2","232","232"
"337","233","0","Porygon2",NULL,NULL,NULL,"1","0","0","0","0","0","1",NULL,"85","80","90","105","95","60",NULL,"6","325","2","1","8","7","36","88","148","10",NULL,"Virtual","50","180","0","0","0","2","0","0","63","0","1,3,4","1,3,4","1,4,4","1,3,4","2,3,4","233","233"
"338","234","0","Stantler",NULL,NULL,NULL,"1","0","0","0","0","0","1",NULL,"73","95","62","85","65","85",NULL,"14","712","2","5","3","8","22","119","157","5",NULL,"Big Horn","50","163","0","1","0","0","0","0","69","0","1,3,3","1,4,4","1,3,3","1,3,4","2,3,3","234","234"
"339","235","0","Smeargle",NULL,NULL,NULL,"1","0","0","0","0","0","1",NULL,"55","20","35","20","45","75",NULL,"12","580","2","5","9","6","20","101","141","5",NULL,"Painter","50","88","0","0","0","0","0","1","81","0","1,3,3","1,2,3","4,5,5","1,3,3","2,3,3","235","235"
"340","236","0","Tyrogue",NULL,NULL,NULL,"1","0","0","0","0","0","2",NULL,"35","35","35","35","35","35",NULL,"7","210","2","8","7","12","62","80","72","15",NULL,"Scuffle","50","42","0","1","0","0","0","0","35","0","1,4,4","1,2,4","1,4,4","1,2,2","2,3,3","236","236"
"341","237","0","Hitmontop",NULL,NULL,NULL,"1","0","0","0","0","0","2",NULL,"50","95","95","35","110","70",NULL,"14","480","2","8","3","6","22","101","80","8",NULL,"Handstand","50","159","0","0","0","0","2","0","35","0","1,3,3","1,3,3","1,5,5","1,3,3","2,3,3","237","237"
"342","238","0","Smoochum",NULL,NULL,NULL,"1","0","0","0","0","0","15","14","45","30","15","85","65","65",NULL,"4","60","2","2","6","12","12","108","93","15",NULL,"Kiss","50","61","0","0","0","1","0","0","84","0","1,4,4","1,1,2","1,3,4","1,1,3","2,3,3","238","238"
"343","239","0","Elekid",NULL,NULL,NULL,"1","0","0","0","0","0","13",NULL,"45","63","37","65","55","95",NULL,"6","235","2","6","10","12","9",NULL,"72","15",NULL,"Electric","50","72","0","0","0","0","0","1","64","0","1,4,4","1,2,3","1,3,3","1,1,2","2,3,3","239","239"
"344","240","0","Magby",NULL,NULL,NULL,"1","0","0","0","0","0","10",NULL,"45","75","37","70","55","83",NULL,"7","214","2","6","8","6","49",NULL,"72","15",NULL,"Live Coal","50","73","0","0","0","0","0","1","16","0","1,3,3","1,3,3","1,3,3","1,2,3","2,2,3","240","240"
"345","241","0","Miltank",NULL,NULL,NULL,"1","0","0","0","0","0","1",NULL,"95","80","105","40","70","100",NULL,"12","755","2","2","6","6","47","113","157","5",NULL,"Milk Cow","50","172","0","0","2","0","0","0","78","0","1,2,3","1,4,4","1,3,4","1,4,5","2,2,3","241","241"
"346","242","0","Blissey",NULL,NULL,NULL,"1","0","0","0","0","0","1",NULL,"255","10","10","75","135","55",NULL,"15","468","2","2","6","12","30","32","131","6",NULL,"Happiness","140","635","3","0","0","0","0","0","81","0","1,2,3","1,2,3","1,3,3","5,5,5","2,2,3","242","242"
"347","243","0","Raikou",NULL,NULL,NULL,"1","0","0","0","0","0","13",NULL,"90","85","75","115","100","115",NULL,"19","1780","2","1","10","8","46",NULL,"39","15",NULL,"Thunder","35","290","0","0","0","1","0","2","82","0","4,5,5","2,3,4","1,4,4","1,3,3","2,3,3","243","243"
"348","244","0","Entei",NULL,NULL,NULL,"1","0","0","0","0","0","10",NULL,"115","115","85","90","75","100",NULL,"21","1980","2","1","3","8","46",NULL,"39","15",NULL,"Volcano","35","290","1","2","0","0","0","0","82","0","1,4,4","4,5,5","1,3,3","1,4,4","2,2,3","244","244"
"349","245","0","Suicune",NULL,NULL,NULL,"1","0","0","0","0","0","11",NULL,"100","75","115","90","115","85",NULL,"20","1870","2","1","2","8","46",NULL,"39","15",NULL,"Aurora","35","290","0","0","1","0","2","0","82","0","2,4,5","2,3,4","1,4,5","2,3,3","2,4,4","245","245"
"350","246","0","Larvitar",NULL,NULL,NULL,"1","0","0","0","0","0","6","5","50","64","50","45","50","41",NULL,"6","720","2","5","5","6","62",NULL,"8","1",NULL,"Rock Skin","35","60","0","1","0","0","0","0","32","0","1,3,3","1,2,4","1,3,4","1,3,3","2,3,3","246","246"
"351","247","0","Pupitar",NULL,NULL,NULL,"1","0","0","0","0","0","6","5","70","84","70","65","70","51",NULL,"12","1520","2","5","4","2","61",NULL,NULL,"1",NULL,"Hard Shell","35","144","0","2","0","0","0","0","32","0","1,3,4","2,4,4","1,1,1","1,3,4","2,2,4","247","247"
"352","248","0","Tyranitar",NULL,NULL,NULL,"1","0","0","0","0","0","6","17","100","134","110","95","100","61",NULL,"20","2020","2","5","5","6","45",NULL,"127","1",NULL,"Armor","35","300","0","3","0","0","0","0","32","0","1,2,2","4,5,5","1,4,4","3,4,5","2,2,2","248","248"
"353","248","1","Mega Tyranitar","Mega","3",NULL,"0","1","0","0","0","0","6","17","100","164","150","95","120","71",NULL,"25","2550","6","5","5","6","45",NULL,NULL,"1",NULL,"Armor","35","350","0","3","0","0","0","0",NULL,"0",NULL,NULL,NULL,NULL,NULL,"10149","10049"
"354","249","0","Lugia",NULL,NULL,NULL,"1","0","0","0","0","0","14","3","106","90","130","90","154","110",NULL,"52","2160","2","1","9","9","46",NULL,"136","15",NULL,"Diving","0","340","0","0","0","0","3","0","23","1","1,4,4","2,4,5","1,3,4","1,3,4","5,5,5","249","249"
"355","250","0","Ho-Oh",NULL,NULL,NULL,"1","0","0","0","0","0","10","3","106","130","90","110","154","90",NULL,"38","1990","2","1","8","9","46",NULL,"144","15",NULL,"Rainbow","0","340","0","0","0","0","3","0","34","1","1,4,4","1,3,4","2,4,5","1,3,4","5,5,5","250","250"
"356","251","0","Celebi",NULL,NULL,NULL,"1","0","0","0","0","0","14","12","100","100","100","100","100","100",NULL,"6","50","2","1","5","12","30",NULL,NULL,"15",NULL,"Time Travel","100","300","3","0","0","0","0","0","56","0","3,5,5","1,1,3","1,5,5","1,2,3","5,5,5","251","251"
"357","252","0","Treecko",NULL,NULL,NULL,"1","0","0","0","0","0","12",NULL,"40","45","35","65","55","70",NULL,"5","50","3","7","5","6","65",NULL,"84","1","14","Wood Gecko","50","62","0","0","0","0","0","1","68","0","2,5,5","1,2,3","1,4,5","1,2,2","2,2,3","252","252"
"358","253","0","Grovyle",NULL,NULL,NULL,"1","0","0","0","0","0","12",NULL,"50","65","45","85","65","95",NULL,"9","216","3","7","5","6","65",NULL,"84","1","14","Wood Gecko","50","142","0","0","0","0","0","2","68","0","3,4,5","1,2,4","1,4,5","1,3,4","2,4,4","253","253"
"359","254","0","Sceptile",NULL,NULL,NULL,"1","0","0","0","0","0","12",NULL,"70","85","65","105","85","120",NULL,"17","522","3","7","5","6","65",NULL,"84","1","14","Forest","50","265","0","0","0","0","0","3","68","0","1,4,4","1,4,5","1,4,5","1,2,4","2,3,4","254","254"
"360","254","1","Mega Sceptile","Mega","3",NULL,"0","1","0","0","0","0","12","16","70","110","75","145","85","145",NULL,"19","552","6","7","5","6","31",NULL,NULL,"1","14","Forest","50","315","0","0","0","0","0","3",NULL,"0",NULL,NULL,NULL,NULL,NULL,"10167","10065"
"361","255","0","Torchic",NULL,NULL,NULL,"1","0","0","0","1","0","10",NULL,"45","60","40","70","50","45",NULL,"4","25","3","7","8","7","66",NULL,"3","5",NULL,"Chick","50","62","0","0","0","1","0","0","15","0","2,4,5","1,2,4","1,2,4","1,2,3","2,2,4","255","255"
"362","256","0","Combusken",NULL,NULL,NULL,"1","0","0","0","1","0","10","2","60","85","60","85","60","55",NULL,"9","195","3","7","8","6","66",NULL,"3","5",NULL,"Young Fowl","50","142","0","1","0","1","0","0","15","0","1,3,4","1,4,5","1,3,4","1,3,3","2,3,4","256","256"
"363","257","0","Blaziken",NULL,NULL,NULL,"1","0","0","0","1","0","10","2","80","120","70","110","70","80",NULL,"19","520","3","7","8","6","66",NULL,"3","5",NULL,"Blaze","50","265","0","3","0","0","0","0","15","0","1,2,2","3,5,5","1,3,5","1,2,4","2,4,4","257","257"
"364","257","1","Mega Blaziken","Mega","3",NULL,"0","1","0","0","0","0","10","2","80","160","80","130","80","100",NULL,"19","520","6","7","8","6","3",NULL,NULL,"5",NULL,"Blaze","50","315","0","3","0","0","0","0",NULL,"0",NULL,NULL,NULL,NULL,NULL,"10150","10050"
"365","258","0","Mudkip",NULL,NULL,NULL,"1","0","0","0","0","0","11",NULL,"50","70","50","50","50","40",NULL,"4","76","3","7","2","8","67",NULL,"6","1","2","Mud Fish","50","62","0","1","0","0","0","0","60","0","1,2,4","1,3,4","1,2,3","1,4,5","2,3,3","258","258"
"366","259","0","Marshtomp",NULL,NULL,NULL,"1","0","0","0","0","0","11","5","70","85","70","60","70","50",NULL,"7","280","3","7","2","6","67",NULL,"6","1","2","Mud Fish","50","142","0","2","0","0","0","0","60","0","1,2,3","1,4,4","1,3,4","1,4,5","2,3,3","259","259"
"367","260","0","Swampert",NULL,NULL,NULL,"1","0","0","0","0","0","11","5","100","110","90","85","90","60",NULL,"15","819","3","7","2","6","67",NULL,"6","1","2","Mud Fish","50","268","0","3","0","0","0","0","60","0","1,2,3","2,4,5","1,2,5","1,5,5","2,2,2","260","260"
"368","260","1","Mega Swampert","Mega","3",NULL,"0","1","0","0","0","0","11","5","100","150","110","95","110","70",NULL,"19","1020","6","7","2","6","33",NULL,NULL,"1","2","Mud Fish","50","318","0","3","0","0","0","0",NULL,"0",NULL,NULL,NULL,NULL,NULL,"10166","10064"
"369","261","0","Poochyena",NULL,NULL,NULL,"1","0","0","0","0","0","17",NULL,"35","55","35","30","30","35",NULL,"5","136","3","5","4","8","50","95","155","5",NULL,"Bite","50","56","0","1","0","0","0","0","77","0","1,3,4","1,3,4","1,2,4","1,4,5","2,2,3","261","261"
"370","262","0","Mightyena",NULL,NULL,NULL,"1","0","0","0","0","0","17",NULL,"70","90","70","60","60","70",NULL,"10","370","3","5","4","8","22","95","153","5",NULL,"Bite","50","147","0","2","0","0","0","0","77","0","1,2,4","1,4,5","1,2,3","3,5,5","2,2,3","262","262"
"371","263","0","Zigzagoon",NULL,NULL,NULL,"1","0","0","0","0","0","1",NULL,"38","30","41","30","41","60",NULL,"4","175","3","5","3","8","53","82","95","5",NULL,"Tiny Raccoon","50","56","0","0","0","0","0","1","77","0","1,4,4","1,1,4","1,3,5","1,4,4","2,2,3","263","263"
"372","263","1","Galarian Zigzagoon","Galarian Form","5","8","0","0","0","0","0","0","17","1","38","30","41","30","41","60",NULL,"4","175","8","5","9","8","53","82","95","5",NULL,"Tiny Raccoon","50","56","0","0","0","0","0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10333","10174"
"373","264","0","Linoone",NULL,NULL,NULL,"1","0","0","0","0","0","1",NULL,"78","70","61","50","61","100",NULL,"5","325","3","5","9","8","53","82","95","5",NULL,"Rushing","50","147","0","0","0","0","0","2","77","0","3,4,5","1,2,4","1,2,3","1,4,4","2,2,3","264","264"
"374","264","1","Galarian Linoone","Galarian Form","5","8","0","0","0","0","0","0","17","1","78","70","61","50","61","100",NULL,"5","325","8","5","9","8","53","82","95","5",NULL,"Rushing","50","147","0","0","0","0","0","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"10334","10175"
"375","265","0","Wurmple",NULL,NULL,NULL,"1","0","0","0","0","0","7",NULL,"45","45","35","20","30","20",NULL,"3","36","3","5","8","14","19",NULL,"50","3",NULL,"Worm","50","56","1","0","0","0","0","0","66","0","1,1,3","1,2,3","1,4,5","1,1,4","2,2,3","265","265"
"376","266","0","Silcoon",NULL,NULL,NULL,"1","0","0","0","0","0","7",NULL,"50","35","55","25","25","15",NULL,"6","100","3","5","9","1","61",NULL,NULL,"3",NULL,"Cocoon","50","72","0","0","2","0","0","0","66","0","1,1,3","1,1,3","1,1,3","1,3,5","2,2,2","266","266"
"377","267","0","Beautifly",NULL,NULL,NULL,"1","0","0","0","1","0","7","3","60","70","50","100","50","65",NULL,"10","284","3","5","10","13","68",NULL,"79","3",NULL,"Butterfly","50","198","0","0","0","3","0","0","66","0","1,3,3","1,2,4","1,3,3","1,4,5","4,5,5","267","267"
"378","268","0","Cascoon",NULL,NULL,NULL,"1","0","0","0","0","0","7",NULL,"50","35","55","25","25","15",NULL,"7","115","3","5","7","1","61",NULL,NULL,"3",NULL,"Cocoon","50","72","0","0","2","0","0","0","66","0","1,1,3","1,2,3","1,1,4","1,2,4","2,2,2","268","268"
"379","269","0","Dustox",NULL,NULL,NULL,"1","0","0","0","1","0","7","4","60","50","70","50","90","65",NULL,"12","316","3","5","5","13","19",NULL,"14","3",NULL,"Poison Moth","50","193","0","0","0","0","3","0","66","0","1,2,4","1,2,3","3,4,5","1,2,3","4,5,5","269","269"
"380","270","0","Lotad",NULL,NULL,NULL,"1","0","0","0","0","0","11","12","40","30","30","40","50","30",NULL,"5","26","3","5","5","14","33","44","20","2","7","Water Weed","50","44","0","0","0","0","1","0","6","0","1,2,3","1,2,4","1,3,4","1,3,5","2,2,2","270","270"
"381","271","0","Lombre",NULL,NULL,NULL,"1","0","0","0","0","0","11","12","60","50","50","60","70","50",NULL,"12","325","3","5","5","12","33","44","20","2","7","Jolly","50","119","0","0","0","0","2","0","6","0","1,3,3","1,3,4","1,4,5","1,2,4","2,2,3","271","271"
"382","272","0","Ludicolo",NULL,NULL,NULL,"1","0","0","0","1","0","11","12","80","70","70","90","100","70",NULL,"15","550","3","5","5","12","33","44","20","2","7","Carefree","50","240","0","0","0","0","3","0","6","0","1,2,4","1,3,4","2,3,5","1,3,5","2,2,3","272","272"
"383","273","0","Seedot",NULL,NULL,NULL,"1","0","0","0","0","0","12",NULL,"40","40","50","30","30","30",NULL,"5","40","3","5","3","7","34","48","124","5","7","Acorn","50","44","0","0","1","0","0","0","55","0","1,3,4","1,2,3","1,2,4","1,2,4","2,2,3","273","273"
"384","274","0","Nuzleaf",NULL,NULL,NULL,"1","0","0","0","1","0","12","17","70","70","40","60","40","60",NULL,"10","280","3","5","3","12","34","48","124","5","7","Wily","50","119","0","2","0","0","0","0","55","0","1,3,5","1,3,4","2,4,4","1,2,2","2,3,3","274","274"
"385","275","0","Shiftry",NULL,NULL,NULL,"1","0","0","0","1","0","12","17","90","100","60","90","60","80",NULL,"13","596","3","5","3","12","34","274","124","5","7","Wicked","50","240","0","3","0","0","0","0","55","0","1,3,4","1,3,4","1,3,4","1,3,4","2,3,4","275","275"
"386","276","0","Taillow",NULL,NULL,NULL,"1","0","0","0","0","0","1","3","40","55","30","30","30","85",NULL,"3","23","3","5","2","9","62",NULL,"113","4",NULL,"Tiny Swallow","50","54","0","0","0","0","0","1","80","0","1,3,4","1,2,4","1,2,3","2,4,4","3,4,5","276","276"
"387","277","0","Swellow",NULL,NULL,NULL,"1","0","0","0","0","0","1","3","60","85","60","75","50","125",NULL,"7","198","3","5","2","9","62",NULL,"113","4",NULL,"Swallow","50","159","0","0","0","0","0","2","80","0","1,3,3","1,3,5","1,1,2","1,4,4","4,5,5","277","277"
"388","278","0","Wingull",NULL,NULL,NULL,"1","0","0","0","0","0","11","3","40","30","30","55","30","85",NULL,"6","95","3","5","9","9","51","93","44","2","4","Seagull","50","54","0","0","0","0","0","1","12","0","1,3,4","1,1,3","1,2,3","1,3,4","4,5,5","278","278"
"389","279","0","Pelipper",NULL,NULL,NULL,"1","0","0","0","0","0","11","3","60","50","100","95","70","65",NULL,"12","280","3","5","10","9","51","2","44","2","4","Water Bird","50","154","0","0","2","0","0","0","12","0","1,2,3","1,2,4","1,2,2","3,4,5","5,5,5","279","279"
"390","280","0","Ralts",NULL,NULL,NULL,"1","0","0","0","0","0","14","18","28","25","25","45","35","40",NULL,"4","66","3","5","9","12","28","36","140","8","11","Feeling","35","40","0","0","0","1","0","0","81","0","1,3,4","1,1,1","1,3,5","1,1,4","2,2,3","280","280"
"391","281","0","Kirlia",NULL,NULL,NULL,"1","0","0","0","0","0","14","18","38","35","35","65","55","50",NULL,"8","202","3","5","9","12","28","36","140","8","11","Emotion","35","97","0","0","0","2","0","0","81","0","1,2,3","1,2,4","3,4,5","1,2,3","2,3,3","281","281"
"392","282","0","Gardevoir",NULL,NULL,NULL,"1","0","0","0","0","0","14","18","68","65","65","125","115","80",NULL,"16","484","3","5","9","12","28","36","140","8","11","Embrace","35","259","0","0","0","3","0","0","81","0","1,3,4","1,1,3","5,5,5","1,2,2","2,3,4","282","282"
"393","282","1","Mega Gardevoir","Mega","3",NULL,"0","1","0","0","0","0","14","18","68","85","65","165","135","100",NULL,"16","484","6","5","9","12","182",NULL,NULL,"8","11","Embrace","35","309","0","0","0","3","0","0",NULL,"0",NULL,NULL,NULL,NULL,NULL,"10151","10051"
"394","283","0","Surskit",NULL,NULL,NULL,"1","0","0","0","0","0","7","11","40","30","32","50","52","65",NULL,"5","17","3","5","2","14","33",NULL,"44","2","3","Pond Skater","50","54","0","0","0","0","0","1","6","0","2,3,5","1,1,3","1,2,3","1,2,3","2,2,3","283","283"
"395","284","0","Masquerain",NULL,NULL,NULL,"1","0","0","0","0","0","7","3","70","60","62","100","82","80",NULL,"8","36","3","5","2","13","22",NULL,"127","2","3","Eyeball","50","159","0","0","0","1","1","0","6","0","1,3,4","1,1,3","1,3,3","1,4,4","5,5,5","284","284"
"396","285","0","Shroomish",NULL,NULL,NULL,"1","0","0","0","0","0","12",NULL,"60","40","60","40","60","35",NULL,"4","45","3","5","3","7","27","90","95","6","7","Mushroom","50","59","1","0","0","0","0","0","55","0","1,2,3","1,2,3","1,2,2","2,4,5","2,2,3","285","285"
"397","286","0","Breloom",NULL,NULL,NULL,"1","0","0","0","0","0","12","2","60","130","80","60","60","70",NULL,"12","392","3","5","5","6","27","90","101","6","7","Mushroom","50","161","0","2","0","0","0","0","55","0","1,3,3","1,4,5","1,2,5","1,2,3","2,2,3","286","286"
"398","287","0","Slakoth",NULL,NULL,NULL,"1","0","0","0","0","0","1",NULL,"60","60","60","35","35","30",NULL,"8","240","3","5","3","8","54",NULL,NULL,"5",NULL,"Slacker","50","56","1","0","0","0","0","0","69","0","1,1,2","1,1,2","1,1,2","3,4,5","2,2,2","287","287"
"399","288","0","Vigoroth",NULL,NULL,NULL,"1","0","0","0","0","0","1",NULL,"80","80","80","55","55","90",NULL,"14","465","3","5","9","6","72",NULL,NULL,"5",NULL,"Wild Monkey","50","154","0","0","0","0","0","2","69","0","3,4,5","1,2,3","1,2,4","1,3,4","2,3,4","288","288"
"400","289","0","Slaking",NULL,NULL,NULL,"1","0","0","0","0","0","1",NULL,"150","160","100","95","65","100",NULL,"20","1305","3","5","3","12","54",NULL,NULL,"5",NULL,"Lazy","50","285","3","0","0","0","0","0","69","0","1,1,1","5,5,5","1,1,2","1,4,5","2,2,2","289","289"
"401","290","0","Nincada",NULL,NULL,NULL,"1","0","0","0","0","0","7","5","31","45","90","30","30","40",NULL,"5","55","3","5","4","14","14",NULL,"50","3",NULL,"Trainee","50","53","0","0","1","0","0","0","58","0","1,2,3","1,2,3","1,3,4","2,3,5","2,2,3","290","290"
"402","291","0","Ninjask",NULL,NULL,NULL,"1","0","0","0","0","0","7","3","61","90","45","50","50","160",NULL,"8","120","3","5","10","13","3",NULL,"151","3",NULL,"Ninja","50","160","0","0","0","0","0","2","58","0","3,5,5","1,2,3","1,2,3","1,2,2","5,5,5","291","291"
"403","292","0","Shedinja",NULL,NULL,NULL,"1","0","0","0","0","0","7","8","1","90","45","30","30","40",NULL,"8","12","3","1","3","5","25",NULL,NULL,"10",NULL,"Shed","50","83","2","0","0","0","0","0","58","0","1,2,2","1,1,3","1,1,3","2,4,5","4,5,5","292","292"
"404","293","0","Whismur",NULL,NULL,NULL,"1","0","0","0","0","0","1",NULL,"64","51","23","51","23","28",NULL,"6","163","3","5","6","6","43",NULL,"155","1","5","Whisper","50","48","1","0","0","0","0","0","48","0","1,4,5","1,2,3","1,2,4","1,3,3","2,2,3","293","293"
"405","294","0","Loudred",NULL,NULL,NULL,"1","0","0","0","0","0","1",NULL,"84","71","43","71","43","48",NULL,"10","405","3","5","2","6","43",NULL,"113","1","5","Big Voice","50","126","2","0","0","0","0","0","48","0","1,3,4","1,3,4","1,4,4","1,3,4","2,2,3","294","294"
"406","295","0","Exploud",NULL,NULL,NULL,"1","0","0","0","0","0","1",NULL,"104","91","63","91","73","68",NULL,"15","840","3","5","2","6","43",NULL,"113","1","5","Loud Noise","50","245","3","0","0","0","0","0","48","0","1,3,3","1,4,4","1,4,4","1,4,5","2,2,2","295","295"
"407","296","0","Makuhita",NULL,NULL,NULL,"1","0","0","0","0","0","2",NULL,"72","60","30","20","30","25",NULL,"10","864","3","6","10","12","47","62","125","8",NULL,"Guts","50","47","1","0","0","0","0","0","35","0","1,3,3","1,3,5","1,3,3","1,3,4","2,3,5","296","296"
